I17PERIOD;I17TIMEST;I17SOLO;I17FUNCSYSTEM;I17PORTID;I17CLASSID;I17CFTYPE;I17CFID;I17CFREV;I17CFDATE1;I17CFDATE2;I17VALUE;I17CURR;I17FUNCTVALUE;I17FUNCTCURR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13750/1;;Y10P;CZR_DEF_20220427185913_35;;20211231;20211231;112392,00;EUR;112392,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13750/1;;Y20R;CZR_DEF_20220427185913_36;;20211231;20211231;-93339,00;EUR;-93339,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13751/1;;Y10P;CZR_DEF_20220427185913_37;;20211231;20211231;5263,00;EUR;5263,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13751/1;;Y20R;CZR_DEF_20220427185913_38;;20211231;20211231;-4486,00;EUR;-4486,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13754/2;;Y10P;CZR_DEF_20220427185913_39;;20211231;20211231;251,51;EUR;251,51;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_10261/1;;Y20R;CZR_DEF_20220427185913_4;;20211231;20211231;-170186,00;EUR;-170186,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13754/3;;Y10P;CZR_DEF_20220427185913_40;;20211231;20211231;421,12;EUR;421,12;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13754/4;;Y10P;CZR_DEF_20220427185913_41;;20211231;20211231;22622,70;EUR;22622,70;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13754/6;;Y10P;CZR_DEF_20220427185913_42;;20211231;20211231;52394,92;EUR;52394,92;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13754/6;;Y20R;CZR_DEF_20220427185913_43;;20211231;20211231;-1667,98;EUR;-1667,98;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13806/1;;Y10P;CZR_DEF_20220427185913_44;;20211231;20211231;291,77;EUR;291,77;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13806/2;;Y10P;CZR_DEF_20220427185913_45;;20211231;20211231;45,50;EUR;45,50;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13806/3;;Y10P;CZR_DEF_20220427185913_46;;20211231;20211231;14022,19;EUR;14022,19;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13806/3;;Y20R;CZR_DEF_20220427185913_47;;20211231;20211231;-500,00;EUR;-500,00;EUR
